Device,Order,NSamples,NTraces,NLabels,Time
GPU,8,1600,20000,4,0.03113
GPU,16,1600,20000,4,0.05701
GPU,32,1600,20000,4,0.11032
GPU,2,100,20000,8,0.00118
GPU,4,100,20000,8,0.00189
GPU,8,100,20000,8,0.0032
GPU,16,100,20000,8,0.00609
GPU,32,100,20000,8,0.01187
GPU,2,200,20000,8,0.00232
GPU,4,200,20000,8,0.00375
GPU,8,200,20000,8,0.00638
GPU,16,200,20000,8,0.01225
GPU,32,200,20000,8,0.02383
GPU,2,400,20000,8,0.00536
GPU,4,400,20000,8,0.00755
GPU,8,400,20000,8,0.01269
GPU,16,400,20000,8,0.02439
GPU,32,400,20000,8,0.04772
GPU,2,800,20000,8,0.01077
GPU,4,800,20000,8,0.01636
GPU,8,800,20000,8,0.02677
GPU,16,800,20000,8,0.0502
GPU,32,800,20000,8,0.09707
GPU,2,1600,20000,8,0.03056
GPU,4,1600,20000,8,0.03924
GPU,8,1600,20000,8,0.06191
GPU,16,1600,20000,8,0.10997
GPU,32,1600,20000,8,0.20461
GPU,2,100,20000,16,0.00181
GPU,4,100,20000,16,0.00288
GPU,8,100,20000,16,0.00528
GPU,16,100,20000,16,0.0101
GPU,32,100,20000,16,0.01973
GPU,2,200,20000,16,0.00357
GPU,4,200,20000,16,0.00579
GPU,8,200,20000,16,0.0106
GPU,16,200,20000,16,0.02021
GPU,32,200,20000,16,0.04048
GPU,2,400,20000,16,0.01037
GPU,4,400,20000,16,0.01477
GPU,8,400,20000,16,0.02441
GPU,16,400,20000,16,0.04413
GPU,32,400,20000,16,0.08455
GPU,2,800,20000,16,0.0308
GPU,4,800,20000,16,0.03947
GPU,8,800,20000,16,0.0592
GPU,16,800,20000,16,0.09941
GPU,32,800,20000,16,0.18023
GPU,2,1600,20000,16,0.08178
GPU,4,1600,20000,16,0.10341
GPU,8,1600,20000,16,0.14465
GPU,16,1600,20000,16,0.21539
GPU,32,1600,20000,16,0.38108
