Device,Order,NSamples,NTraces,NLabels,Time
GPU,32,1000,100000,16,33.25
GPU,64,1000,100000,16,66.25
GPU,2,100,10000,32,0.2703
GPU,4,100,10000,32,0.62209
GPU,8,100,10000,32,1.27
GPU,16,100,10000,32,2.6
GPU,32,100,10000,32,5.07
GPU,64,100,10000,32,10.09
GPU,2,500,10000,32,0.4081
GPU,4,500,10000,32,0.79514
GPU,8,500,10000,32,1.56
GPU,16,500,10000,32,3.03
GPU,32,500,10000,32,6.01
GPU,64,500,10000,32,11.91
GPU,2,1000,10000,32,0.47895
GPU,4,1000,10000,32,0.91326
GPU,8,1000,10000,32,1.75
GPU,16,1000,10000,32,3.39
GPU,32,1000,10000,32,6.67
GPU,64,1000,10000,32,13.25
GPU,2,100,20000,32,0.53554
GPU,4,100,20000,32,1.25
GPU,8,100,20000,32,2.52
GPU,16,100,20000,32,5.09
GPU,32,100,20000,32,10.37
GPU,64,100,20000,32,20.12
GPU,2,500,20000,32,0.82645
GPU,4,500,20000,32,1.59
GPU,8,500,20000,32,3.17
GPU,16,500,20000,32,6.08
GPU,32,500,20000,32,11.99
GPU,64,500,20000,32,23.74
GPU,2,1000,20000,32,0.95094
GPU,4,1000,20000,32,1.82
GPU,8,1000,20000,32,3.56
GPU,16,1000,20000,32,6.75
GPU,32,1000,20000,32,13.32
GPU,64,1000,20000,32,26.57
GPU,2,100,50000,32,1.3
GPU,4,100,50000,32,3.11
GPU,8,100,50000,32,6.34
GPU,16,100,50000,32,12.76
GPU,32,100,50000,32,25.29
GPU,64,100,50000,32,50.15
GPU,2,500,50000,32,2
GPU,4,500,50000,32,3.91
GPU,8,500,50000,32,8
GPU,16,500,50000,32,15.19
GPU,32,500,50000,32,29.95
GPU,64,500,50000,32,59.16
GPU,2,1000,50000,32,2.29
GPU,4,1000,50000,32,4.37
GPU,8,1000,50000,32,8.63
GPU,16,1000,50000,32,16.89
GPU,32,1000,50000,32,33.32
GPU,64,1000,50000,32,66.43
GPU,2,100,100000,32,2.71
GPU,4,100,100000,32,6.22
GPU,8,100,100000,32,12.65
GPU,16,100,100000,32,25.5
GPU,32,100,100000,32,50.45
GPU,64,100,100000,32,100.31
GPU,2,500,100000,32,3.96
GPU,4,500,100000,32,7.81
GPU,8,500,100000,32,15.66
GPU,16,500,100000,32,30.18
GPU,32,500,100000,32,59.74
GPU,64,500,100000,32,118.73
GPU,2,1000,100000,32,4.71
GPU,4,1000,100000,32,9.01
GPU,8,1000,100000,32,17.36
GPU,16,1000,100000,32,33.82
GPU,32,1000,100000,32,66.63
GPU,64,1000,100000,32,132.79
GPU,2,100,10000,64,0.67859
GPU,4,100,10000,64,1.31
GPU,8,100,10000,64,2.61
GPU,16,100,10000,64,5.3
GPU,32,100,10000,64,10.19
GPU,64,100,10000,64,20.48
GPU,2,500,10000,64,0.89321
GPU,4,500,10000,64,1.63
GPU,8,500,10000,64,3.19
GPU,16,500,10000,64,6.14
GPU,32,500,10000,64,12
GPU,64,500,10000,64,23.68
GPU,2,1000,10000,64,1.02
GPU,4,1000,10000,64,1.92
GPU,8,1000,10000,64,3.53
GPU,16,1000,10000,64,6.84
GPU,32,1000,10000,64,13.42
GPU,64,1000,10000,64,26.56
GPU,2,100,20000,64,1.34
GPU,4,100,20000,64,2.62
GPU,8,100,20000,64,5.25
GPU,16,100,20000,64,10.31
GPU,32,100,20000,64,20.21
GPU,64,100,20000,64,40.4
GPU,2,500,20000,64,1.77
GPU,4,500,20000,64,3.25
GPU,8,500,20000,64,6.36
GPU,16,500,20000,64,12.24
GPU,32,500,20000,64,23.97
GPU,64,500,20000,64,47.55
GPU,2,1000,20000,64,2.01
GPU,4,1000,20000,64,3.79
GPU,8,1000,20000,64,7.04
GPU,16,1000,20000,64,13.62
GPU,32,1000,20000,64,26.69
GPU,64,1000,20000,64,53.08
GPU,2,100,50000,64,3.36
GPU,4,100,50000,64,6.56
GPU,8,100,50000,64,13.08
GPU,16,100,50000,64,26.39
GPU,32,100,50000,64,50.59
GPU,64,100,50000,64,100.05
GPU,2,500,50000,64,4.35
GPU,4,500,50000,64,8.04
GPU,8,500,50000,64,15.88
GPU,16,500,50000,64,30.46
GPU,32,500,50000,64,59.6
GPU,64,500,50000,64,118.53
GPU,2,1000,50000,64,4.81
GPU,4,1000,50000,64,9
GPU,8,1000,50000,64,17.42
GPU,16,1000,50000,64,33.88
GPU,32,1000,50000,64,66.9
GPU,64,1000,50000,64,132.02
GPU,2,100,100000,64,6.72
GPU,4,100,100000,64,13.25
GPU,8,100,100000,64,26.07
GPU,16,100,100000,64,51.11
GPU,32,100,100000,64,100.79
GPU,64,100,100000,64,200.55
GPU,2,500,100000,64,8.73
GPU,4,500,100000,64,16.98
GPU,8,500,100000,64,31.77
GPU,16,500,100000,64,61.41
GPU,32,500,100000,64,119.23
GPU,64,500,100000,64,237.79
GPU,2,1000,100000,64,9.83
