Device,Order,NSamples,NTraces,NLabels,Time,Memory
CPU,32,500,50000,16,1.1839373044000001,62176
CPU,64,500,50000,16,2.5947157510000003,62176
CPU,2,1000,50000,16,0.15028012500000001,62176
CPU,8,1000,50000,16,0.4086310834615385,62176
CPU,32,1000,50000,16,2.3495108836666665,62176
CPU,64,1000,50000,16,5.315389829,62176
CPU,2,100,100000,16,0.047102408747663554,62176
CPU,8,100,100000,16,0.16140239509375,62176
CPU,32,100,100000,16,0.658305071375,62176
CPU,64,100,100000,16,1.29026234625,62176
CPU,2,500,100000,16,0.1484538027352941,62176
CPU,8,500,100000,16,0.3928250467692308,62176
CPU,32,500,100000,16,2.3297476906666668,62176
CPU,64,500,100000,16,5.164932547,62176
CPU,2,1000,100000,16,0.28894689944444446,62176
CPU,8,1000,100000,16,0.7937550917142858,62176
CPU,32,1000,100000,16,4.740257925,62176
CPU,64,1000,100000,16,10.544742055,62176
CPU,2,100,10000,32,0.009487789445920304,62176
CPU,8,100,10000,32,0.058513524418604655,62176
CPU,32,100,10000,32,0.18111877428571432,62176
CPU,64,100,10000,32,0.44184153358333333,62176
CPU,2,500,10000,32,0.03829313836641222,62176
CPU,8,500,10000,32,0.1301099136923077,62176
CPU,32,500,10000,32,0.5914815441111112,62176
CPU,64,500,10000,32,2.0905677626666668,62176
CPU,2,1000,10000,32,0.0719801823,62176
CPU,8,1000,10000,32,0.24043914704761907,62176
CPU,32,1000,10000,32,1.1876641652000002,62176
CPU,64,1000,10000,32,5.00149893,62176
CPU,2,100,20000,32,0.017568299803508776,62176
CPU,8,100,20000,32,0.1087416145319149,62176
CPU,32,100,20000,32,0.34574455760000006,62176
CPU,64,100,20000,32,0.8369237874285715,62176
CPU,2,500,20000,32,0.06877956889041097,62176
CPU,8,500,20000,32,0.22669296773913045,62176
CPU,32,500,20000,32,1.1713202988,62176
CPU,64,500,20000,32,4.004733754,62176
CPU,2,1000,20000,32,0.13906011466666668,62176
CPU,8,1000,20000,32,0.44900366100000005,62176
CPU,32,1000,20000,32,2.430352912,62176
CPU,64,1000,20000,32,8.983449673,62176
CPU,2,100,50000,32,0.043596531069565216,62176
CPU,8,100,50000,32,0.2886246818888889,62176
CPU,32,100,50000,32,0.7825632534285715,62176
CPU,64,100,50000,32,2.0508903533333336,62176
CPU,2,500,50000,32,0.16439281248387097,62176
CPU,8,500,50000,32,0.5784689774444445,62176
CPU,32,500,50000,32,2.884441971,62176
CPU,64,500,50000,32,10.406012487,62176
CPU,2,1000,50000,32,0.39843646015384615,62176
CPU,8,1000,50000,32,1.1066068016,62176
CPU,32,1000,50000,32,5.936081207,62176
CPU,64,1000,50000,32,23.581909549000002,62176
CPU,2,100,100000,32,0.08663409079310344,62176
CPU,8,100,100000,32,0.46562421309090907,62176
CPU,32,100,100000,32,1.5793597297500002,62176
CPU,64,100,100000,32,4.1009610045,62176
CPU,2,500,100000,32,0.3264788953125,62176
CPU,8,500,100000,32,1.098432662,62176
CPU,32,500,100000,32,5.625929331,62176
CPU,64,500,100000,32,21.443676187,62176
CPU,2,1000,100000,32,0.631174557,62176
CPU,8,1000,100000,32,2.010712906,62176
CPU,32,1000,100000,32,12.603138515000001,62176
CPU,64,1000,100000,32,43.858789717,62176
CPU,2,100,10000,64,0.019081683370229006,62176
CPU,8,100,10000,64,0.116393625,62176
CPU,32,100,10000,64,0.62682622575,62176
CPU,64,100,10000,64,2.9484617255,62176
CPU,2,500,10000,64,0.07530105550746269,62176
CPU,8,500,10000,64,0.3345405232,62176
CPU,32,500,10000,64,3.0787678065,62176
CPU,64,500,10000,64,19.577333797,62176
CPU,2,1000,10000,64,0.1539963976969697,62176
CPU,8,1000,10000,64,0.6993704486250001,62176
CPU,32,1000,10000,64,7.723631463,62176
CPU,64,1000,10000,64,40.401455448,62176
CPU,2,100,20000,64,0.03670863390510949,62176
CPU,8,100,20000,64,0.34752178100000003,62176
CPU,32,100,20000,64,1.2296214224000002,62176
CPU,64,100,20000,64,6.017865201,62176
CPU,2,500,20000,64,0.14406828525714288,62176
CPU,8,500,20000,64,0.6256105914444444,62176
CPU,32,500,20000,64,6.3156646610000005,62176
CPU,64,500,20000,64,38.97252932,62176
