Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.040178411504,62176,2,100,100000,16 vec label
CPU,0.0781101923384615,62176,2,100,200000,16 vec label
CPU,0.191513162333333,62176,2,100,500000,16 vec label
CPU,0.0357525199571429,62176,2,1000,10000,16 vec label
CPU,0.149715390235294,62176,2,1000,50000,16 vec label
CPU,0.279975975055556,62176,2,1000,100000,16 vec label
CPU,0.5446414997,62176,2,1000,200000,16 vec label
CPU,1.39562904625,62176,2,1000,500000,16 vec label
CPU,0.0702211988888889,62176,2,2000,10000,16 vec label
CPU,0.290282408388889,62176,2,2000,50000,16 vec label
CPU,0.570711094222222,62176,2,2000,100000,16 vec label
CPU,1.0908105922,62176,2,2000,200000,16 vec label
CPU,2.702189933,62176,2,2000,500000,16 vec label
CPU,0.154922885484849,62176,2,5000,10000,16 vec label
CPU,0.704146246125,62176,2,5000,50000,16 vec label
CPU,1.33385691425,62176,2,5000,100000,16 vec label
CPU,2.68591677,62176,2,5000,200000,16 vec label
CPU,6.738551205,62176,2,5000,500000,16 vec label
CPU,0.301491889294118,62176,2,10000,10000,16 vec label
CPU,1.35331001575,62176,2,10000,50000,16 vec label
CPU,2.6623725865,62176,2,10000,100000,16 vec label
CPU,5.340914295,62176,2,10000,200000,16 vec label
CPU,13.253149849,62176,2,10000,500000,16 vec label
CPU,0.00349416357412587,49024,4,50,10000,16 vec label
CPU,0.0165523615728477,49024,4,50,50000,16 vec label
CPU,0.032110592698718,49024,4,50,100000,16 vec label
CPU,0.062655976625,49024,4,50,200000,16 vec label
CPU,0.15632308846875,49024,4,50,500000,16 vec label
CPU,0.00607402669623329,62176,4,100,10000,16 vec label
CPU,0.02783230245,62176,4,100,50000,16 vec label
CPU,0.0541651646774194,62176,4,100,100000,16 vec label
CPU,0.106591970829787,62176,4,100,200000,16 vec label
CPU,0.275321881157895,62176,4,100,500000,16 vec label
CPU,0.0495154657128713,62176,4,1000,10000,16 vec label
CPU,0.197804329884615,62176,4,1000,50000,16 vec label
CPU,0.415922087461538,62176,4,1000,100000,16 vec label
CPU,0.774998823142857,62176,4,1000,200000,16 vec label
CPU,1.94011456566667,62176,4,1000,500000,16 vec label
CPU,0.10003898594,62176,4,2000,10000,16 vec label
CPU,0.400691397461539,62176,4,2000,50000,16 vec label
CPU,0.789844345285714,62176,4,2000,100000,16 vec label
CPU,1.53987750375,62176,4,2000,200000,16 vec label
CPU,3.8426925435,62176,4,2000,500000,16 vec label
CPU,0.228412869954546,62176,4,5000,10000,16 vec label
CPU,0.983846128833333,62176,4,5000,50000,16 vec label
CPU,1.91113979466667,62176,4,5000,100000,16 vec label
CPU,3.804666722,62176,4,5000,200000,16 vec label
CPU,9.436920604,62176,4,5000,500000,16 vec label
CPU,0.44130375925,62176,4,10000,10000,16 vec label
CPU,1.98188296266667,62176,4,10000,50000,16 vec label
CPU,3.7938190335,62176,4,10000,100000,16 vec label
CPU,7.582548442,62176,4,10000,200000,16 vec label
CPU,18.948589386,62176,4,10000,500000,16 vec label
CPU,0.0162228747508091,49024,8,50,10000,16 vec label
CPU,0.0767332493333333,49024,8,50,50000,16 vec label
CPU,0.153462469151515,49024,8,50,100000,16 vec label
CPU,0.359652556571429,49024,8,50,200000,16 vec label
CPU,0.719435574857143,49024,8,50,500000,16 vec label
CPU,0.0169075908851351,62176,8,100,10000,16 vec label
CPU,0.0779338347076923,62176,8,100,50000,16 vec label
CPU,0.178294168793103,62176,8,100,100000,16 vec label
CPU,0.396701559615385,62176,8,100,200000,16 vec label
CPU,0.892278870666667,62176,8,100,500000,16 vec label
CPU,0.0927581997407408,62176,8,1000,10000,16 vec label
CPU,0.42722096875,62176,8,1000,50000,16 vec label
CPU,0.68437531225,62176,8,1000,100000,16 vec label
CPU,1.354231278,62176,8,1000,200000,16 vec label
CPU,3.3876667475,62176,8,1000,500000,16 vec label
CPU,0.183096421607143,62176,8,2000,10000,16 vec label
CPU,0.777010618428572,62176,8,2000,50000,16 vec label
CPU,1.414227157,62176,8,2000,100000,16 vec label
CPU,2.5821875355,62176,8,2000,200000,16 vec label
CPU,6.438636849,62176,8,2000,500000,16 vec label
CPU,0.389763866769231,62176,8,5000,10000,16 vec label
CPU,1.68408194933333,62176,8,5000,50000,16 vec label
CPU,3.786740719,62176,8,5000,100000,16 vec label
CPU,6.680686578,62176,8,5000,200000,16 vec label
CPU,16.474606534,62176,8,5000,500000,16 vec label
CPU,0.734554548428572,62176,8,10000,10000,16 vec label
CPU,3.3575361815,62176,8,10000,50000,16 vec label
CPU,6.647467741,62176,8,10000,100000,16 vec label
CPU,12.847057661,62176,8,10000,200000,16 vec label
CPU,0.0355250720141844,49024,16,50,10000,16 vec label
CPU,0.173094383206897,49024,16,50,50000,16 vec label
CPU,0.3517711114,49024,16,50,100000,16 vec label
CPU,0.66899211325,49024,16,50,200000,16 vec label
CPU,2.140659753,49024,16,50,500000,16 vec label
CPU,0.0360610378776978,62176,16,100,10000,16 vec label
CPU,0.196634216538462,62176,16,100,50000,16 vec label
CPU,0.400662000846154,62176,16,100,100000,16 vec label
CPU,0.932328569666667,62176,16,100,200000,16 vec label
CPU,2.04166050433333,62176,16,100,500000,16 vec label
CPU,0.20472696828,62176,16,1000,10000,16 vec label
CPU,0.868046942166667,62176,16,1000,50000,16 vec label
CPU,2.37115355133333,62176,16,1000,100000,16 vec label
CPU,4.1660371755,62176,16,1000,200000,16 vec label
CPU,8.821570441,62176,16,1000,500000,16 vec label
CPU,0.379457861428571,62176,16,2000,10000,16 vec label
CPU,1.73328749433333,62176,16,2000,50000,16 vec label
CPU,4.1092894435,62176,16,2000,100000,16 vec label
CPU,9.174699154,62176,16,2000,200000,16 vec label
CPU,17.600850323,62176,16,2000,500000,16 vec label
CPU,0.949113479,62176,16,5000,10000,16 vec label
CPU,4.4696202875,62176,16,5000,50000,16 vec label
CPU,8.851440278,62176,16,5000,100000,16 vec label
CPU,16.977508173,62176,16,5000,200000,16 vec label
CPU,43.853549068,62176,16,5000,500000,16 vec label
CPU,1.86256823166667,62176,16,10000,10000,16 vec label
CPU,8.7359112,62176,16,10000,50000,16 vec label
CPU,17.480696793,62176,16,10000,100000,16 vec label
CPU,35.335317326,62176,16,10000,200000,16 vec label
CPU,0.0722754168,49024,32,50,10000,16 vec label
CPU,0.367550228857143,49024,32,50,50000,16 vec label
CPU,0.725318552142857,49024,32,50,100000,16 vec label
CPU,1.4144173935,49024,32,50,200000,16 vec label
CPU,3.503029258,49024,32,50,500000,16 vec label
CPU,0.0896682694107143,62176,32,100,10000,16 vec label
CPU,0.399150466769231,62176,32,100,50000,16 vec label
CPU,0.882721148166667,62176,32,100,100000,16 vec label
CPU,1.5672019195,62176,32,100,200000,16 vec label
CPU,3.199098259,62176,32,100,500000,16 vec label
CPU,0.5010166265,62176,32,1000,10000,16 vec label
CPU,2.33670619066667,62176,32,1000,50000,16 vec label
CPU,4.648575733,62176,32,1000,100000,16 vec label
CPU,9.462215971,62176,32,1000,200000,16 vec label
CPU,29.644541705,62176,32,1000,500000,16 vec label
CPU,1.0614271536,62176,32,2000,10000,16 vec label
CPU,5.271124886,62176,32,2000,50000,16 vec label
CPU,9.832430757,62176,32,2000,100000,16 vec label
CPU,20.015192879,62176,32,2000,200000,16 vec label
CPU,45.417226584,62176,32,2000,500000,16 vec label
CPU,2.7665855185,62176,32,5000,10000,16 vec label
CPU,12.657631469,62176,32,5000,50000,16 vec label
CPU,24.922583132,62176,32,5000,100000,16 vec label
CPU,49.267959145,62176,32,5000,200000,16 vec label
CPU,120.375277205,62176,32,5000,500000,16 vec label
CPU,5.265086221,62176,32,10000,10000,16 vec label
CPU,24.845029361,62176,32,10000,50000,16 vec label
CPU,50.255130545,62176,32,10000,100000,16 vec label
CPU,99.960126281,62176,32,10000,200000,16 vec label
CPU,0.00133632993565684,49024,2,50,10000,4 vec label
CPU,0.00346782340666204,49024,2,50,50000,4 vec label
CPU,0.00673340012651413,49024,2,50,100000,4 vec label
CPU,0.0128405896512821,49024,2,50,200000,4 vec label
CPU,0.0341420541836735,49024,2,50,500000,4 vec label
CPU,0.00185160087379362,62176,2,100,10000,4 vec label
CPU,0.00542709127795874,62176,2,100,50000,4 vec label
CPU,0.0106538023510638,62176,2,100,100000,4 vec label
CPU,0.0214486948583691,62176,2,100,200000,4 vec label
CPU,0.0533197861382979,62176,2,100,500000,4 vec label
CPU,0.0128306266897436,62176,2,1000,10000,4 vec label
CPU,0.0449093300089286,62176,2,1000,50000,4 vec label
CPU,0.0897609497142857,62176,2,1000,100000,4 vec label
CPU,0.163563069516129,62176,2,1000,200000,4 vec label
CPU,0.397066777692308,62176,2,1000,500000,4 vec label
CPU,0.0231016943410138,62176,2,2000,10000,4 vec label
CPU,0.0836254158333333,62176,2,2000,50000,4 vec label
CPU,0.163748972741936,62176,2,2000,100000,4 vec label
CPU,0.3178606555625,62176,2,2000,200000,4 vec label
CPU,0.774858157857143,62176,2,2000,500000,4 vec label
CPU,0.0522442832291667,62176,2,5000,10000,4 vec label
CPU,0.2010582914,62176,2,5000,50000,4 vec label
CPU,0.384989000461538,62176,2,5000,100000,4 vec label
CPU,0.767368302857143,62176,2,5000,200000,4 vec label
CPU,1.860081692,62176,2,5000,500000,4 vec label
