Device,Order,NSamples,NTraces,NLabels,Time
GPU,8,1000,10000,16,0.037
GPU,16,1000,10000,16,0.063
GPU,32,1000,10000,16,0.121
GPU,64,1000,10000,16,0.618
GPU,2,100,20000,16,0.001
GPU,4,100,20000,16,0.002
GPU,8,100,20000,16,0.005
GPU,16,100,20000,16,0.01
GPU,32,100,20000,16,0.019
GPU,64,100,20000,16,0.041
GPU,2,500,20000,16,0.015
GPU,4,500,20000,16,0.02
GPU,8,500,20000,16,0.032
GPU,16,500,20000,16,0.057
GPU,32,500,20000,16,0.108
GPU,64,500,20000,16,0.227
GPU,2,1000,20000,16,0.043
GPU,4,1000,20000,16,0.054
GPU,8,1000,20000,16,0.078
GPU,16,1000,20000,16,0.13
GPU,32,1000,20000,16,0.231
GPU,64,1000,20000,16,0.471
GPU,2,100,50000,16,0.004
GPU,4,100,50000,16,0.007
GPU,8,100,50000,16,0.012
GPU,16,100,50000,16,0.024
GPU,32,100,50000,16,0.049
GPU,64,100,50000,16,0.099
GPU,2,500,50000,16,0.025
GPU,4,500,50000,16,0.038
GPU,8,500,50000,16,0.068
GPU,16,500,50000,16,0.13
GPU,32,500,50000,16,0.256
GPU,64,500,50000,16,0.503
GPU,2,1000,50000,16,0.068
GPU,4,1000,50000,16,0.093
GPU,8,1000,50000,16,0.151
GPU,16,1000,50000,16,0.279
GPU,32,1000,50000,16,0.524
GPU,64,1000,50000,16,1
GPU,2,100,100000,16,0.01
GPU,4,100,100000,16,0.014
GPU,8,100,100000,16,0.025
GPU,16,100,100000,16,0.05
GPU,32,100,100000,16,0.1
GPU,64,100,100000,16,0.199
GPU,2,500,100000,16,0.056
GPU,4,500,100000,16,0.089
GPU,8,500,100000,16,0.144
GPU,16,500,100000,16,0.264
GPU,32,500,100000,16,0.515
GPU,64,500,100000,16,1
GPU,2,1000,100000,16,0.14
GPU,4,1000,100000,16,0.187
GPU,8,1000,100000,16,0.32
GPU,16,1000,100000,16,0.562
GPU,32,1000,100000,16,1
GPU,64,1000,100000,16,2
GPU,2,100,10000,32,0.001
GPU,4,100,10000,32,0.003
GPU,8,100,10000,32,0.005
GPU,16,100,10000,32,0.01
GPU,32,100,10000,32,0.058
GPU,64,100,10000,32,0.207
GPU,2,500,10000,32,0.024
GPU,4,500,10000,32,0.03
GPU,8,500,10000,32,0.042
GPU,16,500,10000,32,0.071
GPU,32,500,10000,32,0.333
GPU,64,500,10000,32,1
GPU,2,1000,10000,32,0.067
GPU,4,1000,10000,32,0.079
GPU,8,1000,10000,32,0.103
GPU,16,1000,10000,32,0.165
GPU,32,1000,10000,32,0.712
GPU,64,1000,10000,32,2
GPU,2,100,20000,32,0.003
GPU,4,100,20000,32,0.005
GPU,8,100,20000,32,0.01
GPU,16,100,20000,32,0.018
GPU,32,100,20000,32,0.042
GPU,64,100,20000,32,0.271
GPU,2,500,20000,32,0.052
GPU,4,500,20000,32,0.063
GPU,8,500,20000,32,0.085
GPU,16,500,20000,32,0.133
GPU,32,500,20000,32,0.255
GPU,64,500,20000,32,1
